ID,Character,Gender,Turkish,MSA,Syrian_Arabic
1,Arzu,Female,Ya Umut biraz önce sen iki tane polis öldürdün.,لقد قتلت للتو اثنين من الشرطة يا أميت.,انت قتلت تنين من رجال الشرطة اوميت
2,Ümit,Male,Eğer ben onları öldürmemiş olsaydım şu an sen içeride olacaktın.  Her şey mahvolacaktı.,لو لم أقتلهم لكانت ستكونين الآن داخل السجن. كل شيء كان ليخرب.,لاني لو ما عملت هيك كانو اخدوكي عالسجن وما طلعتي منو بحياتك
3,POLICE A 498,Male,Annenin telefon numarasını biliyor musun?  Arayalım da gelsin alsın seni.,هل تعرفين رقم هاتف والدتكِ؟ لنطلب منها أن تأتي لتأخذكِ.,حافظة رقم موبايل امك بنتي ؟ . مشان نتصل فيها لتاخدك
4,POLICE A 498,Male,Tarif edebilir misin peki bana?,هل يمكنكِ أن تصفي لي المكان؟,بتقدري تدلينا عليه
5,Zeynep,Female,Ablacım neredesin sen ne kadar korkuttun beni.,أختي، أين كنتِ، لقد أخفتني جداً.,كيف بتجي لهون بدون ما تخبريني متت من خوفي
6,Zeynep,Female,Hadi ablacığım hadi hemen gidelim annen merak etmesin.,هيا يا أختي، دعينا نذهب، حتى لا تقلق أمكِ.,يلا  خلينا نمشي قبل ما تقلق امك عليكي
7,Zeynep,Female,Ablacığım beni ne kadar korkuttun biliyor musun?  Sana bir şey oldu sandım.,أختي، هل تعلمين كم أخفتني؟ لقد ظننتُ أن شيئاً حدث لكِ.,حبيبتي. خوفتيني عليكي وفكرت في شي  صرلك لا سمح الله
8,Melek,Female,Yusuf amca çok sevindi dedin.  Ben yanlış mı duydum?,قلت إن يوسف العم كان سعيداً جداً. هل سمعت خطأ؟ ,قلتي انو عمو يوسف انبسط وقت عرف عن اختراعك مزبوط ؟
9,Melek,Female,Elifciğim söyler misin nereye gitti?,إليف، هل تخبريني إلى أين ذهبت؟ ,اليف عم احكي معك ردي عليي
10,Melek,Female,Elifciğim sen o adama mı gittin?,إلفُالصغيرة، هل ذهبتِ إلى ذلك الرجل؟,اليف رحتي لعند هداك الرجال ؟
11,Melek,Female,Zeynep sana inanamıyorum ya.  Gerçekten inanamıyorum.,زينب، لا أصدقكِ حقًا لا أصدقك. ,زينب عنجد مالي مصدقة . كيف هيك بيصير ؟
12,Aliya,Female,O adam bize neler yaptı sen bilmiyor musun?,ألا تعلمين ماذا فعل بنا ذلك الرجل؟ ,وانتي  بتعرفي اساسا شو اللي عملو فينا هالرجال ؟
13,Selim,Male,Senin ne dediğini kulağın duyuyor mu ya?,هل تسمعين ما تقولينه؟,منتبهة على حالك شو عم تقولي ؟
14,Melek,Female,Zeynep bir durur musun konuşalım.,زينب، هل يمكنك أن تتوقفي قليلاً لنتحدث؟ ,زينب . شو الو داعي كل هالحكي ؟
15,Elif,Female,Dursun çok soğuk ve kıranlık bir yer.,لكن البرد شديد والكائن مكان مظلم. ,بالسجن الجو كتير بارد . وعتمة كمان
